Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,2,9,6,1652,1655,1812,1815,WN,2300,N378SW,80,80,69,-3,-3,OKC,STL,462,4,7,0,,0,NA,NA,NA,NA,NA
2008,6,29,7,900,900,1453,1502,UA,106,N548UA,233,242,213,-9,0,LAX,ORD,1745,6,14,0,,0,NA,NA,NA,NA,NA
2008,9,5,5,924,915,1008,1010,MQ,3351,N688AE,44,55,27,-2,9,DFW,CLL,164,4,13,0,,0,NA,NA,NA,NA,NA
2008,5,28,3,1733,1735,1829,1830,WN,121,N664WN,56,55,44,-1,-2,JAX,TPA,180,3,9,0,,0,NA,NA,NA,NA,NA
2008,11,1,6,935,916,1120,1059,UA,1425,N445UA,105,103,80,21,19,LAS,SFO,414,7,18,0,,0,0,0,21,0,0
2008,8,27,3,632,630,725,725,WN,2,N742SW,53,55,41,0,2,HOU,DAL,239,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,724,730,809,810,YV,1001,N646BR,45,40,29,-1,-6,HNL,KOA,163,4,12,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,1520,1501,1614,1600,OO,5949,N937SW,54,59,37,14,19,GJT,DEN,212,4,13,0,,0,NA,NA,NA,NA,NA
2008,10,3,5,1201,1205,1257,1300,MQ,4212,N686MQ,56,55,34,-3,-4,ORD,CID,196,3,19,0,,0,NA,NA,NA,NA,NA
2008,6,11,3,655,700,929,948,AS,254,N775AS,154,168,126,-19,-5,SEA,LAX,954,7,21,0,,0,NA,NA,NA,NA,NA
2008,4,19,6,1007,955,1110,1105,WN,1851,N486WN,63,70,50,5,12,BUR,OAK,325,5,8,0,,0,NA,NA,NA,NA,NA
2008,11,4,2,1830,1815,2020,2025,WN,267,N643SW,110,130,97,-5,15,STL,HOU,687,4,9,0,,0,NA,NA,NA,NA,NA
2008,11,1,6,1117,1018,1216,1127,OO,5494,N294SW,59,69,42,49,59,SFO,RDD,199,3,14,0,,0,0,0,0,0,49
2008,4,4,5,908,842,1049,951,OO,6336,N770SK,101,69,88,58,26,RNO,SFO,192,3,10,0,,0,26,0,32,0,0
2008,4,11,5,600,600,848,845,WN,2716,N317WN,108,105,87,3,0,MDW,BWI,611,5,16,0,,0,NA,NA,NA,NA,NA
2008,9,11,4,1457,1455,1604,1600,WN,193,N504SW,247,245,230,4,2,SDF,LAS,1624,8,9,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,604,600,750,748,DL,852,N3762Y,106,108,81,2,4,FLL,ATL,581,10,15,0,,0,NA,NA,NA,NA,NA
2008,6,26,4,1333,1305,1512,1440,WN,969,N727SW,219,215,200,32,28,MDW,PHX,1444,6,13,0,,0,25,0,4,0,3
2008,1,19,6,550,600,656,723,YV,7093,N37208,66,83,53,-27,-10,CAE,IAD,401,5,8,0,,0,NA,NA,NA,NA,NA
2008,7,11,5,1807,1830,2006,1957,DL,1047,N604DL,299,267,250,9,-23,ATL,SAN,1891,26,23,0,,0,NA,NA,NA,NA,NA
2008,4,4,5,1706,1711,1753,1810,9E,3768,89329E,47,59,29,-17,-5,DTW,CAK,133,6,12,0,,0,NA,NA,NA,NA,NA
2008,9,3,3,2004,2010,2129,2139,OO,3642,N406SW,85,89,60,-10,-6,SLC,HLN,402,3,22,0,,0,NA,NA,NA,NA,NA
2008,5,4,7,1258,1255,1551,1615,AA,1362,N566AA,113,140,95,-24,3,ORD,JFK,740,9,9,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,1538,1525,1640,1640,AA,1215,N5FSAA,62,75,46,0,13,TUL,DFW,237,8,8,0,,0,NA,NA,NA,NA,NA
2008,5,16,5,1201,1200,1311,1300,WN,21,N636WN,70,60,47,11,1,DAL,HOU,239,4,19,0,,0,NA,NA,NA,NA,NA
2008,9,26,5,1355,1200,1602,1426,FL,334,N287AT,127,146,105,96,115,LGA,ATL,761,6,16,0,,0,0,0,0,0,96
2008,7,6,7,1958,1855,2045,1950,WN,1469,N253WN,107,115,90,55,63,DEN,LAS,629,5,12,0,,0,7,0,0,0,48
2008,7,7,1,719,710,833,822,CO,615,N27734,74,72,46,11,9,IAH,DFW,224,10,18,0,,0,NA,NA,NA,NA,NA
2008,5,25,7,2053,2055,2319,2329,CO,467,N37253,266,274,251,-10,-2,IAH,SEA,1874,4,11,0,,0,NA,NA,NA,NA,NA
2008,6,17,2,1509,1505,1622,1633,DL,1299,N397DA,73,88,58,-11,4,RDU,ATL,356,4,11,0,,0,NA,NA,NA,NA,NA
2008,10,6,1,1252,1300,1429,1420,AA,1785,N4WYAA,157,140,118,9,-8,EWR,ORD,719,18,21,0,,0,NA,NA,NA,NA,NA
2008,9,7,7,1203,1205,2018,2025,AA,442,N627AA,315,320,292,-7,-2,SFO,MIA,2585,4,19,0,,0,NA,NA,NA,NA,NA
2008,7,29,2,1424,1425,1519,1533,FL,102,N975AT,115,128,101,-14,-1,ATL,DFW,732,4,10,0,,0,NA,NA,NA,NA,NA
2008,11,30,7,637,610,807,738,US,1197,N749US,90,88,77,29,27,PVD,DCA,357,3,10,0,,0,27,0,2,0,0
2008,5,12,1,1730,1736,1911,1910,US,454,N624AW,221,214,186,1,-6,MSP,PHX,1276,11,24,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,951,958,1041,1033,NW,1283,N783NC,110,95,67,8,-7,GRR,MSP,408,23,20,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,1037,1044,1225,1230,OO,5951,N756SK,108,106,88,-5,-7,MEM,ORD,491,10,10,0,,0,NA,NA,NA,NA,NA
2008,7,15,2,644,645,749,800,WN,1906,N757LV,65,75,51,-11,-1,SJC,ONT,333,3,11,0,,0,NA,NA,NA,NA,NA
2008,4,20,7,1827,1830,2126,2115,YV,7266,N593ML,119,105,75,11,-3,ORD,GSP,577,4,40,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,808,810,1055,1125,AA,431,N380AA,347,375,333,-30,-2,MIA,SFO,2585,4,10,0,,0,NA,NA,NA,NA,NA
2008,3,30,7,1200,1200,1435,1420,WN,291,N421LV,335,320,322,15,0,ORF,LAS,2155,3,10,0,,0,0,0,15,0,0
2008,2,28,4,1154,1115,1333,1305,NW,351,N8960E,99,110,83,28,39,MKE,MEM,556,5,11,0,,0,28,0,0,0,0
2008,11,3,1,1730,1740,2120,2120,AA,1962,N525AA,170,160,151,0,-10,DFW,IAD,1172,8,11,0,,0,NA,NA,NA,NA,NA
2008,10,18,6,1446,1451,1614,1618,OO,5788,N284YV,88,87,66,-4,-5,FAT,LAS,258,7,15,0,,0,NA,NA,NA,NA,NA
2008,8,6,3,1526,1525,1949,2010,AA,740,N298AA,203,225,172,-21,1,DFW,LGA,1389,20,11,0,,0,NA,NA,NA,NA,NA
2008,10,10,5,1045,1045,1255,1301,OO,6760,N917SW,70,76,49,-6,0,ORD,SDF,286,5,16,0,,0,NA,NA,NA,NA,NA
2008,9,14,7,810,815,1434,1453,DL,1028,N630DL,204,218,188,-19,-5,PHX,ATL,1587,5,11,0,,0,NA,NA,NA,NA,NA
2008,8,14,4,1725,1718,1907,1855,XE,7670,N12175,162,157,139,12,7,MCI,SLC,919,4,19,0,,0,NA,NA,NA,NA,NA
2008,9,26,5,1209,1210,1356,1406,9E,3724,88089E,107,116,73,-10,-1,GSP,DTW,508,25,9,0,,0,NA,NA,NA,NA,NA
2008,2,22,5,1152,1153,1318,1348,AS,539,N306AS,146,175,129,-30,-1,DEN,SEA,1024,5,12,0,,0,NA,NA,NA,NA,NA
2008,7,6,7,902,910,1005,1015,NW,613,N327NW,183,185,162,-10,-8,MSP,GEG,1175,5,16,0,,0,NA,NA,NA,NA,NA
2008,6,11,3,1808,1805,1957,2000,AA,1891,N508AA,169,175,148,-3,3,PBI,DFW,1103,12,9,0,,0,NA,NA,NA,NA,NA
2008,8,29,5,1541,1540,1720,1712,US,1915,N945UW,99,92,77,8,1,IND,CLT,428,4,18,0,,0,NA,NA,NA,NA,NA
2008,11,29,6,940,945,1027,1045,WN,3393,N396SW,107,120,91,-18,-5,PHX,RNO,601,4,12,0,,0,NA,NA,NA,NA,NA
2008,8,24,7,1858,1855,1948,1955,WN,337,N789SW,50,60,39,-7,3,STL,MDW,251,5,6,0,,0,NA,NA,NA,NA,NA
2008,7,28,1,1642,1644,2046,2059,CO,558,N16701,184,195,168,-13,-2,IAH,DCA,1208,5,11,0,,0,NA,NA,NA,NA,NA
2008,11,28,5,1313,1315,1415,1415,WN,3188,N354SW,122,120,112,0,-2,HOU,ELP,677,3,7,0,,0,NA,NA,NA,NA,NA
2008,6,6,5,2134,2140,2249,2305,MQ,3144,N821AE,75,85,62,-16,-6,SJC,SAN,417,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,656,700,923,930,WN,1567,N675AA,147,150,134,-7,-4,AUS,MDW,972,4,9,0,,0,NA,NA,NA,NA,NA
2008,11,26,3,655,700,1015,1025,FL,658,N949AT,140,145,118,-10,-5,SAT,ATL,874,13,9,0,,0,NA,NA,NA,NA,NA
2008,7,1,2,635,640,832,843,US,1434,N450UW,117,123,102,-11,-5,FLL,CLT,631,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,640,640,1413,1441,US,714,N184US,273,301,255,-28,0,LAX,PHL,2401,8,10,0,,0,NA,NA,NA,NA,NA
2008,3,14,5,1703,1701,1717,1727,9E,5814,84129E,74,86,55,-10,2,DTW,ATW,297,3,16,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1400,1317,1532,1447,YV,7097,N444YV,92,90,57,45,43,DEN,RAP,301,3,32,0,,0,0,0,0,0,45
2008,1,22,2,1519,1455,1745,1615,MQ,4188,N823AE,206,140,127,90,24,RIC,ORD,642,8,71,0,,0,0,0,69,0,21
2008,6,12,4,843,846,1031,1030,NW,403,N319NB,228,224,209,1,-3,MEM,SAN,1567,3,16,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,955,955,1254,1225,AA,1739,N544AA,239,210,208,29,0,DCA,DFW,1192,10,21,0,,0,0,0,29,0,0
2008,8,14,4,2004,1945,2232,2225,MQ,3917,N695AE,88,100,70,7,19,ORD,ROC,528,3,15,0,,0,NA,NA,NA,NA,NA
2008,11,16,7,1619,1615,1804,1805,MQ,4277,N825MQ,45,50,28,-1,4,ORD,FWA,157,5,12,0,,0,NA,NA,NA,NA,NA
2008,2,28,4,1107,1110,1239,1235,WN,1376,N308SA,92,85,75,4,-3,MSY,DAL,437,2,15,0,,0,NA,NA,NA,NA,NA
2008,7,21,1,625,625,856,900,WN,2896,N790SW,151,155,141,-4,0,PDX,PHX,1009,4,6,0,,0,NA,NA,NA,NA,NA
2008,10,7,2,1410,1410,1534,1538,OO,6477,N955SW,84,88,63,-4,0,SMF,LAX,373,11,10,0,,0,NA,NA,NA,NA,NA
2008,3,18,2,NA,1352,NA,1533,NW,1476,N967N,NA,101,NA,NA,NA,DTW,PVD,614,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,4,11,5,1059,1100,1216,1205,WN,899,N409WN,77,65,41,11,-1,SNA,LAS,226,6,30,0,,0,NA,NA,NA,NA,NA
2008,11,9,7,1722,1450,2040,1751,B6,711,N587JB,378,361,315,169,152,JFK,LAS,2248,12,51,0,,0,0,0,169,0,0
2008,3,1,6,712,650,1006,955,UA,193,N844UA,354,365,321,11,22,PHL,LAX,2401,21,12,0,,0,NA,NA,NA,NA,NA
2008,4,28,1,1550,1517,1726,1644,XE,2157,N21537,156,147,136,42,33,JAX,IAH,817,6,14,0,,0,0,0,9,0,33
2008,2,5,2,1054,1030,1345,1320,WN,1611,N487WN,111,110,88,25,24,LAS,DEN,629,6,17,0,,0,18,0,1,0,6
2008,12,1,1,2100,2048,2139,2134,OO,5768,N298SW,39,46,28,5,12,PDX,RDM,116,4,7,0,,0,NA,NA,NA,NA,NA
2008,11,18,2,1847,1835,1949,1930,WN,1909,N307SW,62,55,40,19,12,AUS,DAL,189,2,20,0,,0,3,0,7,0,9
2008,10,18,6,1619,1627,1756,1813,NW,1063,N326NB,97,106,78,-17,-8,ALB,DTW,488,11,8,0,,0,NA,NA,NA,NA,NA
2008,5,14,3,1525,1525,1649,1638,OH,5170,N690CA,84,73,46,11,0,CVG,PIT,256,8,30,0,,0,NA,NA,NA,NA,NA
2008,3,15,6,723,730,838,850,OO,2676,N698BR,75,80,59,-12,-7,OMA,MKE,426,5,11,0,,0,NA,NA,NA,NA,NA
2008,9,8,1,553,600,750,810,AA,2320,N278AA,117,130,101,-20,-7,DFW,ORD,802,5,11,0,,0,NA,NA,NA,NA,NA
2008,6,2,1,1404,1256,1547,1441,OO,6726,N750SK,103,105,81,66,68,BOI,DEN,649,12,10,0,,0,0,0,0,0,66
2008,7,23,3,749,750,925,925,WN,1173,N226WN,156,155,143,0,-1,TPA,MDW,997,6,7,0,,0,NA,NA,NA,NA,NA
2008,4,15,2,904,910,1402,1415,AA,2378,N4YRAA,178,185,147,-13,-6,LAX,DFW,1235,10,21,0,,0,NA,NA,NA,NA,NA
2008,11,22,6,1944,1910,2245,2225,WN,1725,N929WN,121,135,106,20,34,DEN,MDW,895,5,10,0,,0,3,0,0,0,17
2008,3,14,5,648,650,748,758,UA,1480,N460UA,60,68,39,-10,-2,LAX,LAS,236,8,13,0,,0,NA,NA,NA,NA,NA
2008,3,2,7,1848,1850,2126,2130,AA,1220,N3CMAA,98,100,81,-4,-2,MSY,MIA,674,7,10,0,,0,NA,NA,NA,NA,NA
2008,5,22,4,1728,1736,1919,1910,US,454,N663AW,231,214,208,9,-8,MSP,PHX,1276,4,19,0,,0,NA,NA,NA,NA,NA
2008,2,10,7,924,928,1221,1234,NW,241,N523US,177,186,152,-13,-4,FLL,DTW,1127,11,14,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1557,1605,1826,1834,US,475,N640AW,89,89,69,-8,-8,BUR,PHX,369,4,16,0,,0,NA,NA,NA,NA,NA
2008,9,29,1,1217,1220,1729,1723,NW,884,N359NW,192,183,173,6,-3,TUS,MSP,1298,9,10,0,,0,NA,NA,NA,NA,NA
2008,4,29,2,1608,1610,1732,1731,OO,6039,N970SW,84,81,66,1,-2,LAX,SMF,373,3,15,0,,0,NA,NA,NA,NA,NA
2008,5,27,2,1333,1336,1607,1610,FL,280,N960AT,154,154,140,-3,-3,ATL,BOS,946,5,9,0,,0,NA,NA,NA,NA,NA
2008,5,26,1,1747,1750,2044,2005,B6,309,N618JB,357,315,319,39,-3,IAD,SAN,2253,2,36,0,,0,0,0,39,0,0
2008,10,31,5,1648,1650,1905,1909,OO,5994,N740SK,77,79,47,-4,-2,ORD,DTW,235,9,21,0,,0,NA,NA,NA,NA,NA
2008,10,21,2,2131,2140,2141,2140,OO,2833,N498CA,70,60,47,1,-9,IND,MKE,238,6,17,0,,0,NA,NA,NA,NA,NA
2008,9,9,2,1714,1340,1913,1557,XE,2763,N29906,119,137,75,196,214,BGR,EWR,393,23,21,0,,0,0,196,0,0,0
2008,3,3,1,1318,1319,1431,1436,OO,5478,N562SW,73,77,60,-5,-1,ACV,SFO,250,3,10,0,,0,NA,NA,NA,NA,NA
2008,11,6,4,554,605,652,701,US,974,N732US,58,56,34,-9,-11,RDU,CLT,130,4,20,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,NA,2040,NA,2240,WN,380,,NA,60,NA,NA,NA,LAS,PHX,256,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,9,24,3,1158,1205,1753,1802,UA,122,N824UA,235,237,216,-9,-7,LAX,ORD,1745,6,13,0,,0,NA,NA,NA,NA,NA
2008,5,20,2,908,905,1120,1105,MQ,4849,N710TB,132,120,87,15,3,LGA,CMH,478,6,39,0,,0,0,0,15,0,0
2008,10,23,4,926,925,1046,1050,WN,2893,N215WN,80,85,62,-4,1,SMF,LAS,397,7,11,0,,0,NA,NA,NA,NA,NA
2008,11,18,2,1306,1312,1518,1528,YV,7048,N509MJ,72,76,50,-10,-6,ORD,DTW,235,7,15,0,,0,NA,NA,NA,NA,NA
2008,11,19,3,1100,1105,1122,1130,WN,1472,N200WN,82,85,61,-8,-5,PHX,LAX,370,6,15,0,,0,NA,NA,NA,NA,NA
2008,7,26,6,948,950,1125,1140,MQ,4739,N705AE,97,110,70,-15,-2,LGA,RDU,431,6,21,0,,0,NA,NA,NA,NA,NA
2008,2,19,2,1304,1315,1433,1448,XE,2154,N13994,89,93,66,-15,-11,LBB,IAH,458,12,11,0,,0,NA,NA,NA,NA,NA
2008,1,28,1,1225,1230,1413,1415,9E,5898,87219E,108,105,73,-2,-5,MDT,DTW,370,14,21,0,,0,NA,NA,NA,NA,NA
2008,8,15,5,NA,1945,NA,2222,EV,4998,N834AS,NA,157,NA,NA,NA,ATL,JFK,760,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,12,9,2,2,2250,53,2350,AA,1831,N3BLAA,51,60,35,63,72,MIA,TPA,204,4,12,0,,0,59,0,0,0,4
2008,12,28,7,1724,1630,1850,1800,9E,2275,80249E,86,90,65,50,54,PFN,MEM,417,9,12,0,,0,0,0,0,0,50
2008,3,28,5,1928,1920,2055,2045,WN,3592,N443WN,87,85,71,10,8,LAS,SJC,386,4,12,0,,0,NA,NA,NA,NA,NA
2008,12,12,5,1401,1400,1538,1530,WN,2744,N609SW,157,150,138,8,1,SAT,PHX,843,2,17,0,,0,NA,NA,NA,NA,NA
2008,5,18,7,952,950,1314,1335,WN,879,N325SW,142,165,126,-21,2,SAT,MCO,1040,6,10,0,,0,NA,NA,NA,NA,NA
2008,4,13,7,1335,1345,1439,1500,MQ,4785,N726AE,64,75,41,-21,-10,LGA,DCA,214,3,20,0,,0,NA,NA,NA,NA,NA
2008,5,24,6,1555,1559,1633,1643,UA,699,N938UA,98,104,82,-10,-4,TUL,DEN,541,7,9,0,,0,NA,NA,NA,NA,NA
2008,3,22,6,1109,1109,1639,1620,UA,484,N542UA,210,191,170,19,0,DEN,DCA,1476,9,31,0,,0,0,0,19,0,0
2008,1,26,6,NA,715,NA,923,DL,575,N902DE,NA,68,NA,NA,NA,BNA,ATL,214,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,9,25,4,839,840,952,959,DL,801,N654DL,133,139,104,-7,-1,ATL,DFW,732,5,24,0,,0,NA,NA,NA,NA,NA
2008,11,14,5,917,915,943,955,WN,804,N310SW,86,100,72,-12,2,PIT,MDW,402,4,10,0,,0,NA,NA,NA,NA,NA
2008,5,15,4,746,750,901,924,B6,1073,N283JB,75,94,57,-23,-4,JFK,RIC,288,3,15,0,,0,NA,NA,NA,NA,NA
2008,6,19,4,606,615,901,915,CO,1735,N19638,115,120,98,-14,-9,ELP,IAH,667,7,10,0,,0,NA,NA,NA,NA,NA
2008,11,2,7,801,805,1011,1025,AA,1577,N5EKAA,190,200,160,-14,-4,MIA,ORD,1197,13,17,0,,0,NA,NA,NA,NA,NA
2008,7,18,5,2014,1910,2354,2150,AA,1255,N443AA,220,160,121,124,64,ORD,IAH,925,7,92,0,,0,53,0,71,0,0
2008,6,25,3,1258,1259,1411,1410,OO,5453,N298SW,73,71,56,1,-1,FAT,LAX,209,9,8,0,,0,NA,NA,NA,NA,NA
2008,3,20,4,1713,1635,2250,2240,AA,554,N4XCAA,217,245,201,10,38,SFO,ORD,1846,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1654,1655,1900,1914,UA,1623,N451UA,246,259,226,-14,-1,MSY,LAX,1671,9,11,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,1302,1306,1619,1639,NW,1022,N335NB,137,153,116,-20,-4,MSP,BWI,936,5,16,0,,0,NA,NA,NA,NA,NA
2008,10,30,4,539,545,635,638,CO,278,N14250,56,53,40,-3,-6,SAT,IAH,191,5,11,0,,0,NA,NA,NA,NA,NA
2008,8,8,5,1905,1855,2008,2001,DL,792,N937DL,123,126,95,7,10,ATL,ORD,606,8,20,0,,0,NA,NA,NA,NA,NA
2008,12,25,4,600,600,935,935,MQ,4821,N721MQ,155,155,114,0,0,DSM,LGA,1031,3,38,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1330,1330,1506,1455,WN,78,N477WN,96,85,81,11,0,SAN,OAK,446,3,12,0,,0,NA,NA,NA,NA,NA
2008,7,5,6,720,730,819,840,WN,1436,N211WN,59,70,48,-21,-10,BUR,SJC,296,3,8,0,,0,NA,NA,NA,NA,NA
2008,8,28,4,2131,2125,2250,2245,CO,1704,N17730,79,80,58,5,6,IAH,OKC,395,6,15,0,,0,NA,NA,NA,NA,NA
2008,6,19,4,1350,1350,1616,1626,DL,712,N666DN,146,156,119,-10,0,ATL,BOS,946,8,19,0,,0,NA,NA,NA,NA,NA
2008,12,4,4,2150,2155,2309,2315,WN,2181,N433LV,79,80,64,-6,-5,SJC,LAS,386,7,8,0,,0,NA,NA,NA,NA,NA
2008,2,23,6,1342,1345,1631,1640,NW,1186,N762NC,109,115,86,-9,-3,MEM,DTW,610,5,18,0,,0,NA,NA,NA,NA,NA
2008,6,24,2,1638,1648,1758,1809,NW,1667,N771NC,80,81,64,-11,-10,BIS,MSP,386,7,9,0,,0,NA,NA,NA,NA,NA
2008,9,25,4,621,630,848,855,OO,3860,N815SK,87,85,62,-7,-9,RNO,SLC,422,11,14,0,,0,NA,NA,NA,NA,NA
2008,9,28,7,657,710,842,859,OO,6600,N907SW,105,109,82,-17,-13,GTF,DEN,624,11,12,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,753,800,1009,1001,US,1821,N426US,136,121,87,8,-7,EWR,CLT,529,7,42,0,,0,NA,NA,NA,NA,NA
2008,5,6,2,1820,1820,1816,1830,MQ,4464,N619AE,56,70,42,-14,0,FNT,ORD,223,7,7,0,,0,NA,NA,NA,NA,NA
2008,3,27,4,2102,2053,4,2354,F9,214,N940FR,122,121,102,10,9,DEN,AUS,775,5,15,0,,0,NA,NA,NA,NA,NA
2008,3,11,2,714,715,1058,1105,XE,2511,N11113,164,170,139,-7,-1,IAH,PIT,1117,8,17,0,,0,NA,NA,NA,NA,NA
2008,1,30,3,2112,2110,2251,2251,FL,182,N975AT,99,101,74,0,2,ATL,DCA,547,6,19,0,,0,NA,NA,NA,NA,NA
2008,3,2,7,1420,1420,2007,2007,CO,430,N59338,227,227,197,0,0,SFO,IAH,1635,13,17,0,,0,NA,NA,NA,NA,NA
2008,9,6,6,844,849,1459,1455,UA,134,N657UA,255,246,208,4,-5,SFO,ORD,1846,30,17,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,1155,1200,1431,1448,US,1647,N451UW,156,168,137,-17,-5,PHL,PBI,951,4,15,0,,0,NA,NA,NA,NA,NA
2008,6,8,7,1319,1326,1418,1437,OO,6643,N969SW,59,71,41,-19,-7,DEN,RAP,301,3,15,0,,0,NA,NA,NA,NA,NA
2008,6,22,7,920,920,1032,1029,FL,318,N945AT,72,69,46,3,0,ATL,CLT,227,7,19,0,,0,NA,NA,NA,NA,NA
2008,12,7,7,644,648,831,840,XE,2040,N15555,107,112,89,-9,-4,CHS,EWR,628,6,12,0,,0,NA,NA,NA,NA,NA
2008,8,20,3,1505,1505,1606,1615,WN,281,N464WN,61,70,54,-9,0,SMF,BUR,358,1,6,0,,0,NA,NA,NA,NA,NA
2008,7,24,4,1754,1755,1858,1905,WN,875,N551WN,64,70,54,-7,-1,SJC,ONT,333,3,7,0,,0,NA,NA,NA,NA,NA
2008,6,27,5,1428,1405,1806,1805,XE,2236,N17115,158,180,132,1,23,MSP,EWR,1008,8,18,0,,0,NA,NA,NA,NA,NA
2008,4,3,4,NA,1300,NA,1411,US,2128,,NA,71,NA,NA,NA,LGA,BOS,185,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,11,25,2,1949,1740,2120,1929,CO,1197,N12319,91,109,48,111,129,BOS,EWR,200,6,37,0,,0,0,0,3,0,108
2008,11,15,6,626,630,740,750,OO,4851,N440SW,74,80,55,-10,-4,BIL,SLC,387,7,12,0,,0,NA,NA,NA,NA,NA
2008,3,6,4,642,645,952,1004,DL,1067,N6712B,310,319,269,-12,-3,EWR,SLC,1968,9,32,0,,0,NA,NA,NA,NA,NA
2008,12,24,3,2053,2030,2312,2300,WN,3898,N407WN,139,150,126,12,23,BWI,TPA,842,5,8,0,,0,NA,NA,NA,NA,NA
2008,9,10,3,1922,1925,2008,2040,XE,2651,N16525,46,75,34,-32,-3,IAH,GRK,166,4,8,0,,0,NA,NA,NA,NA,NA
